hold,rebalance,k_pct,exec_lag,cost,gross_sharpe,net_sharpe,ann_return,max_drawdown,turnover_annual,cost_drag_annual,n_bars
4,2,0.2,2,high,-0.6578649167795557,-27.159662876695005,-0.995079081314761,-0.999999889069827,3446.809173855162,5.170213760782743,26398
4,2,0.3,1,low,-0.18731943814849908,-4.549668655571526,-0.4820492168160758,-0.8645726846048722,3105.389802257746,0.6210779604515493,26398
4,2,0.3,1,med,-0.18731943814849908,-16.281128277192572,-0.9061887071277114,-0.9992008632955126,3105.389802257746,2.32904235169331,26398
4,2,0.3,1,high,-0.18731943814849908,-30.908276848169546,-0.9908817247858616,-0.999999288468473,3105.389802257746,4.658084703386618,26398
4,2,0.3,2,low,-0.5104708632196523,-4.951375184582136,-0.5045088660302677,-0.8815948788457477,3105.1484616603184,0.6210296923320635,26398
4,2,0.3,2,med,-0.5104708632196523,-16.940758567490377,-0.9102388272497449,-0.9992998947699181,3105.1484616603184,2.3288613462452386,26398
4,2,0.3,2,high,-0.5104708632196523,-31.9478655446724,-0.991273030799323,-0.9999993764761039,3105.1484616603184,4.657722692490477,26398
4,4,0.1,1,low,0.2486867607971425,-1.6816173760299304,-0.521052179713436,-0.9068155891575609,3782.792635805742,0.7565585271611487,26398
4,4,0.1,1,med,0.2486867607971425,-6.9346867243360375,-0.940296838891258,-0.9997966528336889,3782.792635805742,2.8370944768543067,26398
4,4,0.1,1,high,0.2486867607971425,-13.755644392454965,-0.9965210455398716,-0.999999961087743,3782.792635805742,5.674188953708613,26398
4,4,0.1,2,low,-0.0029744579803816953,-1.9968418351005601,-0.5638127102070387,-0.9230081921801985,3782.128949162815,0.7564257898325631,26398
